Offset-Description                                                                   
0000 - String            20C3A040 : DCH_EVO1           20BFCC40 : FIA_COU            
0E88 - Pointer           20C3AEC8 : P->3E666666        20BFDAC8 : P->3E666666        
0E8C - Float             20C3AECC : 26.5               20BFDACC : 25.5               
0E90 - Float             20C3AED0 : 1                  20BFDAD0 : 1                  
0E94 - Double            20C3AED4 : 0.0244281328225043 20BFDAD4 : 0.0229187495016959 
0E9C - Double            20C3AEDC : 0.0250000096623386 20BFDADC : 0.0250000096619871 
0EA4 - Float             20C3AEE4 : 6012               20BFDAE4 : 5510               
0EA8 - Float             20C3AEE8 : 16                 20BFDAE8 : 16                 
0EAC - Float             20C3AEEC : 0.5                20BFDAEC : 0.4499999881       
0EB0 - Float             20C3AEF0 : 7.5                20BFDAF0 : 7.5                
0EB4 - String            20C3AEF4 : DCH_EVO1           20BFDAF4 : FIA_COU            
0EBD - Byte              20C3AEFD : 211                20BFDAFD : 211                
0EBE - 2 Bytes           20C3AEFE : 18370              20BFDAFE : 18370              
0EC0 - Float             20C3AF00 : 10000              20BFDB00 : 10000              
0EC4 - Pointer           20C3AF04 : P->3DCCCCCD        20BFDB04 : P->3DCCCCCD        
0EC8 - 4 Bytes           20C3AF08 : 0                  20BFDB08 : 0                  
0ECC - Float             20C3AF0C : 70000              20BFDB0C : 70000              
0ED0 - Float             20C3AF10 : 10000              20BFDB10 : 10000              
0ED4 - Pointer           20C3AF14 : P->3DCCCCCD        20BFDB14 : P->3DCCCCCD        
0ED8 - 4 Bytes           20C3AF18 : 0                  20BFDB18 : 0                  
0EDC - 4 Bytes           20C3AF1C : 0                  20BFDB1C : 0                  
0EE0 - Pointer           20C3AF20 : P->3EA1A36F        20BFDB20 : P->3E9BE0DF        
0EE4 - Pointer           20C3AF24 : P->3E666666        20BFDB24 : P->3E666666        
0EE8 - Float             20C3AF28 : 26.5               20BFDB28 : 25.5               
0EEC - Float             20C3AF2C : 1                  20BFDB2C : 1                  
0EF0 - Double            20C3AF30 : 0.0309250093006995 20BFDB30 : 0.0293500012659933 
0EF8 - Double            20C3AF38 : 0.0250000096638512 20BFDB38 : 0.0250000096634845 
0F00 - Float             20C3AF40 : 6012               20BFDB40 : 5510               
0F04 - Float             20C3AF44 : 16                 20BFDB44 : 16                 
0F08 - Float             20C3AF48 : 0.5                20BFDB48 : 0.4499999881       
0F0C - Float             20C3AF4C : 7.5                20BFDB4C : 7.5                
0F10 - String            20C3AF50 : DCH_EVO1           20BFDB50 : FIA_COU            
0F19 - Byte              20C3AF59 : 211                20BFDB59 : 211                
0F1A - 2 Bytes           20C3AF5A : 18370              20BFDB5A : 18370              
0F1C - Float             20C3AF5C : 10000              20BFDB5C : 10000              
0F20 - Pointer           20C3AF60 : P->3DCCCCCD        20BFDB60 : P->3DCCCCCD        
0F24 - 4 Bytes           20C3AF64 : 0                  20BFDB64 : 0                  
0F28 - Float             20C3AF68 : 70000              20BFDB68 : 70000              
0F2C - Float             20C3AF6C : 10000              20BFDB6C : 10000              
0F30 - Pointer           20C3AF70 : P->3DCCCCCD        20BFDB70 : P->3DCCCCCD        
0F34 - 4 Bytes           20C3AF74 : 0                  20BFDB74 : 0                  
0F38 - 4 Bytes           20C3AF78 : 0                  20BFDB78 : 0                  
0F3C - Pointer           20C3AF7C : P->3EA1A36F        20BFDB7C : P->3E9BE0DF        
0F40 - Pointer           20C3AF80 : P->3E666666        20BFDB80 : P->3E666666        
0F44 - Float             20C3AF84 : 26.5               20BFDB84 : 25.5               
0F48 - Float             20C3AF88 : 1                  20BFDB88 : 1                  
0F4C - Double            20C3AF8C : 0.0435937715577893 20BFDB8C : 0.0403125060605817 
0F54 - Double            20C3AF94 : 0.0250000096653639 20BFDB94 : 0.0250000096649819 
0F5C - Float             20C3AF9C : 6012               20BFDB9C : 5510               
0F60 - Float             20C3AFA0 : 16                 20BFDBA0 : 16                 
0F64 - Float             20C3AFA4 : 0.5                20BFDBA4 : 0.4499999881       
0F68 - Float             20C3AFA8 : 7.5                20BFDBA8 : 7.5                
0F6C - String            20C3AFAC : DCH_EVO1           20BFDBAC : FIA_COU            
0F75 - Byte              20C3AFB5 : 211                20BFDBB5 : 211                
0F76 - 2 Bytes           20C3AFB6 : 18370              20BFDBB6 : 18370              
0F78 - Float             20C3AFB8 : 10000              20BFDBB8 : 10000              
0F7C - Pointer           20C3AFBC : P->3DCCCCCD        20BFDBBC : P->3DCCCCCD        
0F80 - 4 Bytes           20C3AFC0 : 0                  20BFDBC0 : 0                  
0F84 - Float             20C3AFC4 : 70000              20BFDBC4 : 70000              
0F88 - Float             20C3AFC8 : 10000              20BFDBC8 : 10000              
0F8C - Pointer           20C3AFCC : P->3DCCCCCD        20BFDBCC : P->3DCCCCCD        
0F90 - 4 Bytes           20C3AFD0 : 0                  20BFDBD0 : 0                  
0F94 - 4 Bytes           20C3AFD4 : 0                  20BFDBD4 : 0                  
0F98 - Pointer           20C3AFD8 : P->3EA1A36F        20BFDBD8 : P->3E9BE0DF        
0F9C - Pointer           20C3AFDC : P->3E666666        20BFDBDC : P->3E666666        
0FA0 - Float             20C3AFE0 : 26.5               20BFDBE0 : 25.5               
0FA4 - Float             20C3AFE4 : 1                  20BFDBE4 : 1                  
0FA8 - Double            20C3AFE8 : 0.0565874947118573 20BFDBE8 : 0.0531750095891766 
0FB0 - Double            20C3AFF0 : 0.0250000096668766 20BFDBF0 : 0.0250000096664793 
0FB8 - Float             20C3AFF8 : 6012               20BFDBF8 : 5510               
0FBC - Float             20C3AFFC : 16                 20BFDBFC : 16                 
0FC0 - Float             20C3B000 : 0.5                20BFDC00 : 0.4499999881       
0FC4 - Float             20C3B004 : 7.5                20BFDC04 : 7.5                
0FC8 - String            20C3B008 : DCH_EVO1           20BFDC08 : FIA_COU            
0FD1 - Byte              20C3B011 : 211                20BFDC11 : 211                
0FD2 - 2 Bytes           20C3B012 : 18370              20BFDC12 : 18370              
0FD4 - Float             20C3B014 : 10000              20BFDC14 : 10000              
0FD8 - Pointer           20C3B018 : P->3DCCCCCD        20BFDC18 : P->3DCCCCCD        
0FDC - 4 Bytes           20C3B01C : 0                  20BFDC1C : 0                  
0FE0 - Float             20C3B020 : 70000              20BFDC20 : 70000              
0FE4 - Float             20C3B024 : 10000              20BFDC24 : 10000              
0FE8 - Pointer           20C3B028 : P->3DCCCCCD        20BFDC28 : P->3DCCCCCD        
0FEC - 4 Bytes           20C3B02C : 0                  20BFDC2C : 0                  
0FF0 - 4 Bytes           20C3B030 : 0                  20BFDC30 : 0                  
0FF4 - Pointer           20C3B034 : P->3EA1A36F        20BFDC34 : P->3E9BE0DF        
0FF8 - Pointer           20C3B038 : P->3E666666        20BFDC38 : P->3E666666        
0FFC - Float             20C3B03C : 26.5               20BFDC3C : 25.5               
1000 - Float             20C3B040 : 1                  20BFDC40 : 1                  
1004 - Double            20C3B044 : 0.012230316127534  20BFDC44 : 0.0115543771040393 
100C - Double            20C3B04C : 0.0250000096587082 20BFDC4C : 0.0250000096583934 
1014 - Float             20C3B054 : 6012               20BFDC54 : 5510               
1018 - Float             20C3B058 : 16                 20BFDC58 : 16                 
101C - Float             20C3B05C : 0.5                20BFDC5C : 0.4499999881       
1020 - Float             20C3B060 : 7.5                20BFDC60 : 7.5                
1024 - String            20C3B064 : DCH_EVO1           20BFDC64 : FIA_COU            
102D - Byte              20C3B06D : 211                20BFDC6D : 211                
102E - 2 Bytes           20C3B06E : 18370              20BFDC6E : 18370              
1030 - Float             20C3B070 : 10000              20BFDC70 : 10000              
1034 - Pointer           20C3B074 : P->3DCCCCCD        20BFDC74 : P->3DCCCCCD        
1038 - 4 Bytes           20C3B078 : 0                  20BFDC78 : 0                  
103C - Float             20C3B07C : 70000              20BFDC7C : 70000              
1040 - Float             20C3B080 : 10000              20BFDC80 : 10000              
1044 - Pointer           20C3B084 : P->3DCCCCCD        20BFDC84 : P->3DCCCCCD        
1048 - 4 Bytes           20C3B088 : 0                  20BFDC88 : 0                  
104C - 4 Bytes           20C3B08C : 0                  20BFDC8C : 0                  
1050 - Pointer           20C3B090 : P->3EA1A36F        20BFDC90 : P->3E9BE0DF        
1054 - Pointer           20C3B094 : P->3E666666        20BFDC94 : P->3E666666        
1058 - Float             20C3B098 : 26.5               20BFDC98 : 25.5               
105C - Float             20C3B09C : 1                  20BFDC9C : 1                  
1060 - Double            20C3B0A0 : 0.0141793731105281 20BFDCA0 : 0.0134837496530963 
1068 - Double            20C3B0A8 : 0.0250000096596158 20BFDCA8 : 0.0250000096592918 
1070 - Float             20C3B0B0 : 6012               20BFDCB0 : 5510               
1074 - Float             20C3B0B4 : 16                 20BFDCB4 : 16                 
1078 - Float             20C3B0B8 : 0.5                20BFDCB8 : 0.4499999881       
107C - Float             20C3B0BC : 7.5                20BFDCBC : 7.5                
1080 - String            20C3B0C0 : DCH_EVO1           20BFDCC0 : FIA_COU            
1089 - Byte              20C3B0C9 : 211                20BFDCC9 : 211                
108A - 2 Bytes           20C3B0CA : 18370              20BFDCCA : 18370              
108C - Float             20C3B0CC : 10000              20BFDCCC : 10000              
1090 - Pointer           20C3B0D0 : P->3DCCCCCD        20BFDCD0 : P->3DCCCCCD        
1094 - 4 Bytes           20C3B0D4 : 0                  20BFDCD4 : 0                  
1098 - Float             20C3B0D8 : 70000              20BFDCD8 : 70000              
109C - Float             20C3B0DC : 10000              20BFDCDC : 10000              
10A0 - Pointer           20C3B0E0 : P->3DCCCCCD        20BFDCE0 : P->3DCCCCCD        
10A4 - 4 Bytes           20C3B0E4 : 0                  20BFDCE4 : 0                  
10A8 - 4 Bytes           20C3B0E8 : 0                  20BFDCE8 : 0                  
10AC - Pointer           20C3B0EC : P->3EA1A36F        20BFDCEC : P->3E9BE0DF        
10B0 - Pointer           20C3B0F0 : P->3E666666        20BFDCF0 : P->3E666666        
10B4 - Float             20C3B0F4 : 26.5               20BFDCF4 : 25.5               
10B8 - Float             20C3B0F8 : 1                  20BFDCF8 : 1                  
10BC - Double            20C3B0FC : 0.0166318750882056 20BFDCFC : 0.0154131296527339 
10C4 - Double            20C3B104 : 0.0250000096605234 20BFDD04 : 0.0250000096601903 
10CC - Float             20C3B10C : 6012               20BFDD0C : 5510               
10D0 - Float             20C3B110 : 16                 20BFDD10 : 16                 
10D4 - Float             20C3B114 : 0.5                20BFDD14 : 0.4499999881       
10D8 - Float             20C3B118 : 7.5                20BFDD18 : 7.5                
10DC - String            20C3B11C : DCH_EVO1           20BFDD1C : FIA_COU            
10E5 - Byte              20C3B125 : 211                20BFDD25 : 211                
10E6 - 2 Bytes           20C3B126 : 18370              20BFDD26 : 18370              
10E8 - Float             20C3B128 : 10000              20BFDD28 : 10000              
10EC - Pointer           20C3B12C : P->3DCCCCCD        20BFDD2C : P->3DCCCCCD        
10F0 - 4 Bytes           20C3B130 : 0                  20BFDD30 : 0                  
10F4 - Float             20C3B134 : 70000              20BFDD34 : 70000              
10F8 - Float             20C3B138 : 10000              20BFDD38 : 10000              
10FC - Pointer           20C3B13C : P->3DCCCCCD        20BFDD3C : P->3DCCCCCD        
1100 - 4 Bytes           20C3B140 : 0                  20BFDD40 : 0                  
1104 - 4 Bytes           20C3B144 : 0                  20BFDD44 : 0                  
1108 - Pointer           20C3B148 : P->3EA1A36F        20BFDD48 : P->3E9BE0DF        
110C - Pointer           20C3B14C : P->3E666666        20BFDD4C : P->3E666666        
1110 - Float             20C3B150 : 26.5               20BFDD50 : 25.5               
1114 - Float             20C3B154 : 1                  20BFDD54 : 1                  
1118 - Double            20C3B158 : 0.0205300039553549 20BFDD58 : 0.0190600044035818 
1120 - Double            20C3B160 : 0.025000009661431  20BFDD60 : 0.0250000096610887 
1128 - Float             20C3B168 : 6012               20BFDD68 : 5510               
112C - Float             20C3B16C : 16                 20BFDD6C : 16                 
1130 - Float             20C3B170 : 0.5                20BFDD70 : 0.4499999881       
1134 - Float             20C3B174 : 7.5                20BFDD74 : 7.5                
1138 - String            20C3B178 : DCH_EVO1           20BFDD78 : FIA_COU            
